SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2264,2,2,Urban,1994,291833.6604572939
1665,4,3,Rural,1955,227452.2180515463
1945,4,3,Rural,1957,349159.3295385224
2934,3,2,Rural,1980,246377.3934275577
2028,3,1,Suburb,1953,280311.19201766234
2076,5,1,Urban,2007,281590.57845479413
2619,4,3,Urban,2006,237182.9547295113
2505,2,1,Urban,1951,296691.116039005
2570,4,2,Suburb,2005,239208.7378911218
1422,4,2,Rural,1953,301997.1637686322
1530,3,3,Suburb,2009,180306.81104972883
2276,3,2,Urban,1952,261788.23030012185
1379,4,1,Rural,1978,211373.54861165577
2360,2,1,Urban,1963,227638.74232166636
2278,3,3,Suburb,2005,247611.14119656984
2035,2,1,Suburb,1964,253005.6813282165
1518,5,2,Suburb,1985,247140.7327001601
1381,3,3,Suburb,2017,285046.85454022064
2904,5,1,Rural,2000,381541.1657283056
2161,5,3,Urban,1970,241640.71923707187
2939,2,3,Rural,1970,334506.3060839775
1596,3,2,Urban,1992,255863.59247742768
1285,5,1,Urban,1957,148038.2707536644
2896,3,1,Suburb,1983,220915.00829722369
1777,2,1,Urban,1978,161523.8451272862
2487,2,3,Urban,2005,255969.64141035947
2094,4,1,Urban,1990,276329.99043991865
1559,4,2,Suburb,2008,169993.95593321117
1812,4,3,Suburb,2020,181813.21954397656
1675,3,3,Urban,1954,220785.72295924777
2458,5,2,Suburb,1978,208859.1964759412
2887,4,3,Urban,1970,351855.89626539144
2816,4,2,Suburb,2010,384593.6354443253
2288,4,3,Urban,1995,363715.7235760307
2729,2,2,Urban,1990,254132.938540666
2189,3,2,Rural,1959,318411.972406166
1361,3,2,Suburb,1996,198708.37501443815
2854,4,1,Suburb,1988,426716.97405269626
1787,4,2,Rural,2006,391305.3243649902
1360,3,2,Rural,2012,183964.3101365404
2930,5,1,Urban,1993,382270.5641410517
1727,3,3,Suburb,1966,177119.47088058997
2557,5,3,Urban,1994,340979.29361226526
2460,3,2,Suburb,1963,352209.7816615832
2506,4,3,Rural,1950,387154.0551288988
2589,2,3,Suburb,2012,272626.37420712964
1694,5,2,Rural,1981,220889.5646081667
2584,3,3,Rural,1976,357640.6996453794
2931,2,1,Suburb,1979,292173.14804464986
2746,2,3,Rural,1958,297754.5534416043
2842,2,3,Rural,1995,297609.7185248232
1558,4,1,Suburb,1982,194638.12371955437
2082,5,2,Suburb,2020,287504.6036928142
1264,5,2,Rural,2004,179093.86922283002
2590,2,2,Urban,1968,263566.07820859447
2845,4,3,Urban,2015,327611.20546308125
1606,2,1,Rural,2019,171832.26886964618
2892,2,2,Rural,1962,295605.4558659616
2535,2,2,Suburb,1995,198351.91136547292
2748,2,3,Rural,1985,348546.130304066
2779,2,2,Urban,1996,277182.2667314583
2183,3,3,Rural,1952,198748.66923580976
2248,2,3,Rural,1991,306053.2140921599
1165,3,3,Rural,2017,78413.98966866978
2029,3,3,Urban,2011,217588.71525237017
2160,3,2,Rural,1964,240498.29416751303
1223,2,3,Urban,1966,117125.25105528256
1301,2,1,Suburb,2002,114357.59508198386
1372,2,3,Rural,1984,161026.10729111635
1450,5,3,Rural,2021,183240.5634094272
2016,5,2,Suburb,1959,212457.00496638377
1985,5,1,Rural,1983,204292.61075007427
1899,4,3,Suburb,2016,232981.9149051031
2835,5,3,Rural,1967,335230.119464598
1913,4,2,Rural,1978,185561.84266273637
2366,2,2,Suburb,1962,211578.50695890543
2943,5,2,Urban,1952,307845.3279093473
1176,3,3,Rural,2013,279214.45323661
1421,5,3,Suburb,1993,240289.22572486417
2242,3,1,Suburb,1974,176767.52616163943
2662,4,3,Rural,1998,299295.6047081148
1527,2,2,Suburb,1968,217826.90813194055
1011,3,1,Rural,2017,107334.48856240348
1612,5,1,Suburb,2005,243956.72951129096
1185,5,1,Urban,1951,190507.31022241956
2912,2,1,Suburb,1954,299599.19573509466
2440,5,1,Suburb,1984,300224.773472634
2126,4,2,Suburb,1966,215095.42227127723
2400,2,1,Suburb,1976,290375.41089218325
1209,5,3,Rural,1958,147086.48685196284
1928,2,2,Rural,1990,234962.1601255936
2790,2,1,Urban,2007,263515.31172333745
2455,2,2,Rural,2018,355456.6736506494
2916,4,2,Rural,2017,261916.3043287249
2800,5,3,Urban,1998,243474.4477234156
2777,2,2,Urban,1997,331380.0715757769
1592,3,2,Suburb,1950,245299.2098929523
1530,2,1,Suburb,1998,126415.93436953792
1073,5,3,Urban,1970,90546.47369356532
2964,3,3,Urban,1977,346468.798414424
2260,5,3,Suburb,2010,170068.24471442786
2878,3,2,Suburb,1954,259136.5130960035
2415,5,2,Urban,1963,230193.1787231853
2124,5,2,Suburb,1969,210206.57661696276
1176,4,1,Rural,2004,117462.6768997454
2075,4,2,Rural,1988,255790.5549364628
1977,2,1,Rural,2008,229186.65689182412
2777,2,3,Suburb,1994,315345.7582456857
2186,4,1,Urban,1971,174740.9101274219
1469,3,1,Suburb,1963,178732.2428235444
2270,5,3,Suburb,1957,278354.6017254306
2843,5,3,Suburb,1986,297175.9843887295
2386,5,2,Urban,1999,315411.67243207287
2420,3,3,Urban,1989,264819.58557070803
1820,5,3,Rural,2006,219889.3733461036
2386,2,1,Rural,1952,133514.50338652785
2467,3,1,Suburb,2019,152105.21039188316
1282,5,1,Suburb,1968,171531.6080004951
2288,4,1,Suburb,1996,214041.4390315552
1937,3,2,Suburb,1989,248105.04883185707
1036,2,3,Urban,1977,87865.48961115332
1295,4,1,Rural,2018,115305.90834632792
2300,2,1,Suburb,1995,198169.965019886
1733,3,1,Rural,1988,172102.17723541846
2282,5,3,Rural,2006,224994.1665415604
1318,3,2,Rural,1992,145241.3375763541
2553,5,1,Urban,2005,358239.83580249967
1198,5,3,Urban,1983,194545.67304353477
2332,4,2,Suburb,1969,287596.3035519318
1467,4,2,Urban,2014,160999.56929849312
2246,4,3,Suburb,2006,276472.78530113207
1112,4,2,Suburb,2011,70187.86381431471
1246,5,2,Suburb,1969,135238.738420775
1627,2,3,Urban,1986,300690.42426742084
2648,4,3,Suburb,1951,217633.4521807576
2860,5,3,Urban,1971,341248.3270946207
1383,5,1,Rural,2003,130280.61112259212
1444,5,2,Urban,1977,157309.22387391393
1650,4,2,Suburb,1951,116257.03412383662
1655,3,2,Rural,2001,162647.54590373696
1525,5,1,Urban,1957,269303.87935055466
1619,5,2,Urban,2002,211393.06165722405
1446,3,2,Rural,2009,84243.37974217103
2712,2,2,Rural,1997,264028.7877205152
2614,5,2,Suburb,1967,297649.69796015474
2426,5,3,Suburb,2002,375441.4538351756
1688,3,1,Rural,1980,101358.28527218402
2044,2,3,Suburb,1970,191249.20533153455
1288,4,1,Suburb,1967,48925.451848593206
2429,5,1,Rural,1965,301419.2251006039
2931,2,3,Urban,2012,347968.56896128017
1066,3,1,Urban,2002,143288.67809106858
1183,4,3,Suburb,2020,85660.50372290658
1704,5,3,Urban,1991,148920.31391423388
1324,5,2,Suburb,2021,156070.35875370397
1200,5,1,Suburb,1987,163089.8719481729
1627,3,2,Rural,2014,233736.95767642884
2198,5,1,Urban,1990,287773.72655672
2317,2,2,Urban,1953,210797.088063245
2303,2,2,Suburb,1965,271093.30493024393
2579,5,3,Suburb,1977,262511.8643308795
1033,3,3,Rural,1990,67406.08928108859
1350,4,3,Urban,2018,187293.46115956968
1581,4,3,Suburb,1978,161170.30947804142
1478,5,1,Urban,1952,231763.05192855175
2605,2,2,Urban,1973,244622.6873856313
1048,3,3,Urban,1997,131916.58833357706
1529,5,1,Rural,1980,311517.2878299344
2027,5,3,Suburb,1963,191692.5253592326
1364,2,1,Urban,1993,134477.80233384526
1453,4,2,Rural,1994,174818.56130389686
2347,5,3,Rural,2003,300808.2160184781
1619,4,3,Rural,2003,167243.55932672598
1132,5,1,Urban,2003,174647.27328581316
1201,2,3,Suburb,2001,196267.66697924372
2921,2,3,Suburb,1980,236424.58011116463
1661,2,2,Suburb,1987,142825.49104682432
2132,2,3,Rural,1981,202928.0971036707
1680,2,3,Suburb,1950,167965.8793759151
1284,3,1,Suburb,1963,78948.13085445172
2892,4,3,Suburb,1953,251001.8578065228
1553,5,2,Urban,1971,182130.6249073315
2358,2,1,Rural,1979,243063.70939917176
1593,3,3,Suburb,1980,131238.83937131142
1878,3,1,Suburb,1953,244451.790760282
1198,3,3,Suburb,1964,49660.61528946746
2229,4,1,Suburb,1952,222439.11397850275
1241,5,3,Urban,1954,109086.38182786998
1399,4,3,Suburb,1985,123111.21843199764
2931,5,1,Rural,1983,453551.1254693392
1761,2,2,Urban,1990,193399.9234986395
1168,5,2,Urban,1984,170801.7246113306
2654,2,2,Urban,1965,290886.5198348044
2291,3,2,Rural,1972,294940.1128123982
2205,4,3,Suburb,1991,252324.87700019183
2013,3,2,Urban,2006,245878.3451108628
1530,3,1,Suburb,1980,236147.83115796116
2004,2,3,Suburb,2016,166182.0372364015
2920,3,2,Urban,2002,305711.3695955291
2271,5,1,Rural,1992,227506.34116997643
1677,2,2,Suburb,2018,162009.13363919506
2350,5,1,Rural,1989,274439.4316583185
1853,4,1,Urban,2019,179418.65708264103
2989,2,3,Suburb,1972,395695.60807246494
1329,2,1,Urban,2003,151003.3778968694
2267,4,3,Suburb,1953,248940.98681834748
2110,5,1,Suburb,1974,211309.08776040623
1012,2,1,Suburb,2011,110061.87421463424
2189,4,1,Urban,2013,182038.90848055636
1384,2,1,Rural,2020,189727.22734522505
2833,3,3,Rural,1959,268021.7569563719
1937,5,3,Urban,1972,253985.619753938
1374,5,3,Rural,1966,161030.28922804788
2855,4,1,Urban,2011,313696.90452429466
1921,5,3,Urban,2001,246193.26477674735
1194,3,2,Urban,1969,141157.5803050589
2040,5,1,Rural,1980,141395.52904084907
1918,4,2,Suburb,1994,226974.74448103496
1702,5,3,Rural,1967,252175.00775249637
1302,5,2,Urban,2019,205542.9307011342
2219,4,3,Rural,1986,361605.9358177593
2514,5,1,Urban,1972,301022.85061651113
1430,5,3,Suburb,1953,134381.7851440895
1741,4,2,Rural,1979,243472.76727567049
2826,4,3,Rural,1955,349820.450095255
2117,3,1,Urban,2004,133224.77218939504
2128,3,3,Suburb,1953,246671.20733099335
1531,5,2,Suburb,1961,260658.99151729068
1749,2,3,Urban,1967,196116.7814233837
1740,4,3,Rural,1967,266645.1291212855
2542,4,3,Suburb,1986,226955.10869415576
2846,2,2,Suburb,1975,424711.182844032
2380,4,1,Urban,1982,261200.1055427737
2272,2,3,Suburb,2001,258829.6311661147
2462,3,2,Rural,2017,235910.5917472473
1139,3,2,Rural,1990,121582.51081778452
1247,2,1,Rural,2000,113214.09979337912
1081,4,3,Urban,1961,210319.3202502767
2589,5,1,Suburb,1977,275219.5166498958
1637,3,1,Suburb,2002,130054.18407051692
1106,4,2,Suburb,1980,73150.21694388404
2671,5,3,Suburb,1994,310637.35989501
2226,2,3,Urban,1958,261592.89006973887
2868,2,1,Rural,2018,321138.00529137446
1490,4,1,Urban,1990,203611.65881526223
2296,4,2,Rural,1978,217916.0069365087
1360,2,3,Rural,2016,70719.58385552965
2663,4,3,Urban,1987,360367.9215961431
1488,3,2,Urban,2010,160513.13209753972
2975,5,3,Urban,2014,296292.2318679481
2560,4,3,Rural,1977,315530.276300334
1923,4,2,Urban,2007,244648.9686083189
2170,3,2,Urban,2005,171145.01280197193
2299,3,3,Urban,2002,259541.72477292057
1905,3,3,Urban,2001,122223.52262000988
1375,4,2,Urban,1954,142078.4058460183
2885,4,1,Suburb,1956,317033.2193455148
2884,4,2,Rural,1972,439470.8640432888
2816,2,2,Suburb,1975,362561.7688427309
1805,5,2,Urban,2010,215558.3759136157
2367,5,1,Urban,1997,257724.66672609912
2974,3,2,Suburb,1963,268269.0982214009
1891,4,3,Urban,1992,229970.9166584737
2986,4,2,Urban,1979,287283.7376228736
1471,2,2,Urban,1976,138753.6881294456
2293,2,1,Urban,1958,218921.84624909924
2709,5,2,Rural,1975,245674.63300759217
2252,4,2,Urban,1959,261941.5401347952
1260,2,3,Suburb,1956,158959.6865028896
2075,5,3,Rural,2012,235782.70508575207
2312,3,1,Suburb,1988,255065.09362404735
1242,5,2,Suburb,1977,89446.0070769859
2676,2,2,Rural,1963,287146.49381079536
2947,2,1,Suburb,1968,269047.01012106903
1442,2,2,Suburb,2015,166158.25235125437
2892,3,2,Suburb,1969,244763.58788130808
1216,5,2,Rural,1983,273876.50886780204
2642,5,2,Suburb,1966,232785.698151375
1123,3,1,Suburb,1970,92321.40279003704
1205,2,1,Rural,1952,194489.58805113123
2611,3,1,Suburb,1972,256970.5836601289
1699,2,2,Suburb,1995,253986.4136787017
1628,2,2,Urban,1959,210732.75762493475
1245,3,2,Suburb,1984,139553.84692768095
2224,3,2,Suburb,1971,218168.70814067312
2596,2,1,Suburb,2015,186412.10389136028
2414,2,2,Rural,2014,242211.02011699247
1493,3,1,Rural,1954,64574.64720617542
1461,3,2,Urban,2017,205534.04576177537
2378,5,2,Urban,1955,108521.00255115172
1633,4,1,Suburb,1971,175580.25687495343
1918,5,1,Suburb,2005,205733.30276169896
1821,4,1,Rural,2004,148124.5114635842
2052,2,1,Rural,1980,201257.6324539685
2818,5,2,Rural,2020,385294.3608851006
1423,2,1,Suburb,1998,196524.29590498668
2737,4,1,Urban,1981,352330.6216221421
1869,3,3,Rural,1971,198622.22126923985
1440,4,3,Rural,1973,210533.29244931976
1265,4,1,Urban,1984,127415.07877921112
2336,5,3,Suburb,1984,208018.76241247664
1055,4,3,Suburb,1961,180949.82653782336
1378,3,3,Urban,1969,158858.92248956772
1446,3,3,Urban,1979,196083.9159551345
2992,5,2,Urban,1966,285001.046006009
1763,2,1,Suburb,2011,212601.88029592813
2223,3,3,Rural,1953,240701.5974208077
2034,5,1,Urban,1989,187755.0858586892
1208,3,2,Suburb,1994,103279.67944879243
1246,2,2,Urban,1967,195016.41049638725
2781,5,1,Rural,1981,237828.15680188523
2375,3,3,Rural,1971,293254.5357658403
1276,5,2,Urban,1966,142136.4225158649
2953,2,3,Suburb,1977,347287.34229310765
1011,5,3,Suburb,1968,90513.90625176672
2181,5,3,Urban,2003,251695.40232717808
2337,4,1,Rural,1968,157844.96996187628
2192,2,2,Rural,1966,318985.7402876362
1189,5,1,Rural,1956,194760.360587696
2968,4,1,Rural,2001,251600.85424040933
2937,3,2,Rural,1999,263953.35252024763
1706,4,1,Urban,1973,191010.42431763903
2241,2,3,Suburb,1967,211585.61618939548
2328,2,2,Urban,1955,273343.098100939
1201,4,1,Rural,2007,162821.61652075005
2418,2,1,Suburb,1995,311280.64853470883
2696,5,2,Rural,1989,283038.3461560126
1398,3,1,Rural,1987,109923.33958431488
2441,2,2,Urban,1979,360488.867290914
1611,5,1,Suburb,1980,230741.37524394417
2198,3,3,Suburb,1970,217687.4102544007
2081,2,2,Suburb,1954,125093.43957912568
1248,5,1,Suburb,1970,159482.0929481592
2753,4,3,Rural,2002,313822.9204730553
2549,5,3,Suburb,2010,425958.58590683
1364,3,1,Urban,1977,211752.89640491304
2886,3,3,Rural,1991,369470.792351921
2392,2,3,Rural,1952,148682.7564449067
1590,2,2,Rural,1999,112508.55983877224
1023,3,3,Urban,1992,97239.7305587704
1532,4,2,Suburb,2018,261545.39704700524
1005,5,1,Rural,1980,93865.33791495668
2403,5,3,Urban,1978,310664.59387536446
2175,5,1,Rural,1967,222532.43243861
1567,4,3,Rural,1964,181088.48115021177
2557,3,3,Urban,2004,354895.01805013244
1388,4,2,Rural,1964,271764.30313098244
2013,5,2,Suburb,1999,198984.26850500767
2523,3,3,Rural,1971,326289.05692014337
2153,3,3,Rural,1967,245049.27391762676
2352,2,2,Urban,2005,261530.85608636413
1638,2,2,Rural,1978,124066.79360304662
2090,4,2,Rural,1964,315705.29192031326
1531,5,2,Rural,2002,190387.3281485982
1471,4,3,Urban,2012,138720.94989260862
2779,5,1,Urban,1953,343129.4695486775
2750,3,2,Urban,1995,356535.15316035884
2615,5,1,Suburb,1954,200595.11750022147
2426,5,2,Rural,2015,270217.56442556065
1698,4,3,Rural,1995,215445.4022593447
2050,2,1,Urban,1956,184106.0041106164
1978,5,2,Suburb,2021,272794.47619684285
2232,3,1,Suburb,2008,298625.81777405995
1924,5,1,Suburb,1956,181408.66926324603
1879,5,3,Suburb,1996,253195.48610273324
2779,5,1,Suburb,1952,282033.12039455946
2064,3,1,Rural,2019,119014.41556041987
1805,2,2,Rural,1973,161251.1121180435
2658,5,3,Suburb,1987,350266.5193843783
1280,5,2,Suburb,1997,283115.70138850424
2567,5,1,Rural,1986,241170.246000693
2121,3,3,Urban,2019,260938.1170883917
2652,5,3,Suburb,1997,269920.2429712033
2592,2,3,Suburb,1994,318441.8345482761
1838,3,2,Suburb,2012,167190.09146913615
1147,3,3,Rural,2017,198566.7544279594
1244,5,2,Urban,1969,340661.472932572
2433,2,1,Suburb,1987,210830.26803227307
2216,5,2,Rural,2003,250888.1499126426
2106,2,1,Rural,2019,234688.8204492332
1578,3,2,Urban,1995,241500.25742457795
2026,4,2,Urban,1997,214810.0193327648
2511,4,3,Urban,1986,239289.9081830797
2559,4,3,Rural,1972,298695.2152269876
2218,2,3,Rural,1971,228802.1840301553
2300,3,1,Rural,1965,262848.1231977165
2203,2,1,Urban,1988,200254.36959546764
2568,4,3,Suburb,1973,186488.891713808
2291,3,2,Urban,1975,281884.35927606607
2440,2,2,Urban,2016,280914.49947411986
2074,4,2,Suburb,1985,230989.24720989837
2731,3,1,Suburb,1994,220731.51251233488
1648,2,2,Rural,1953,146881.98916186238
2300,2,2,Rural,2000,234701.26958798812
1354,4,1,Suburb,2013,137046.76199364377
2550,5,3,Urban,2018,220608.66275714015
1825,2,1,Rural,2014,171631.32689869934
2691,4,2,Rural,2010,324969.1236777482
1877,5,2,Suburb,2005,224773.07562244928
1586,3,2,Rural,1957,126168.93060810352
1535,4,1,Suburb,1973,165307.87730156846
1395,4,2,Urban,1968,159677.39916456235
1053,5,1,Rural,1964,129030.3456438255
2362,4,2,Rural,1950,205964.56845812796
1761,3,1,Urban,1976,137466.76892379596
1916,3,2,Suburb,1999,212662.8762729967
2356,4,2,Urban,1986,287434.8280733959
1464,4,2,Suburb,1983,77652.84550071965
1088,3,2,Suburb,1966,106557.6648602333
1193,3,3,Urban,1968,157111.60000342492
1539,5,1,Urban,1996,246195.35960037145
1026,4,3,Urban,1965,200421.6191269248
2329,5,3,Suburb,2003,342289.9976513316
1156,2,2,Suburb,1998,176559.44339127018
2134,4,1,Rural,1975,298297.3763038658
1545,5,3,Suburb,2005,259988.4039004342
2086,2,1,Rural,1986,222280.71028330523
2770,4,2,Urban,1981,352650.542404822
1854,5,3,Suburb,1985,309724.55307463533
2811,4,2,Rural,2004,350863.3977678599
1825,5,1,Rural,2014,213918.085892598
1151,4,3,Suburb,1966,104311.96697176862
1920,2,3,Urban,1972,237362.32370644735
2537,3,1,Rural,1989,256076.65966822632
2349,2,2,Rural,2014,169077.98823418305
1769,2,2,Urban,1987,121177.91017617
2515,4,2,Suburb,1998,227057.21340807748
1968,2,3,Suburb,1983,177054.63084708524
1400,3,2,Urban,2009,209855.486113482
1718,4,1,Urban,1953,212180.0029597012
1418,5,3,Suburb,1998,222904.25800629333
1182,3,3,Suburb,1972,184156.29678012076
1552,5,3,Rural,1967,189096.5405827246
1330,2,3,Rural,1950,225675.2321853891
1686,4,2,Urban,1977,198852.3840144515
2114,3,2,Suburb,1964,272818.36832479376
2661,2,3,Urban,1982,269861.3007946236
1764,2,3,Rural,1950,187847.1573840404
1034,3,3,Rural,1990,104565.60510698984
